address_1,address_1,store,dateofissue,rating,review
남구,대학로94번길,가무댕댕,2021.01.03,4.0,맛있는 가무뎅뎅..
남구,대학로94번길,가무댕댕,2020.12.29,3.0,추억의 맛.
남구,대학로94번길,가무댕댕,2020.12.26,3.5,좋아요
남구,대학로94번길,가무댕댕,2020.12.16,4.0,맛있어요
남구,대학로94번길,가무댕댕,2020.12.06,3.0,조아요
남구,대학로94번길,가무댕댕,2020.12.06,3.5,좋아요
남구,대학로94번길,가무댕댕,2020.12.06,5.0,후식이 없어져서 아쉬운데 맛있어요 역시 :))
남구,대학로94번길,가무댕댕,2020.12.02,5.0,무거동 돈까스 맛집
남구,대학로94번길,가무댕댕,2020.11.28,4.0,맛있어요
남구,대학로94번길,가무댕댕,2020.11.11,2.0,경양식 돈까스 먹으러 갔는데 소스가 넉넉하지 못했고 불친절했어요. 뭔가를 더 요구하면 화를 내실 거 같은 불편함이 느껴지는 곳이였어요. 두번은 안 갈듯해요.
남구,대학로94번길,가무댕댕,2020.11.06,4.5,"후식이 없어져서 아쉽지만 계속 있었으면 하는 곳,,,"
남구,대학로94번길,가무댕댕,2020.11.01,5.0,추억의 돈까스에요! 옛날 경양식 느낌의 돈까스인데 맛있어용
남구,대학로94번길,가무댕댕,2020.10.24,4.0,언제나 그리운 맛입니다~^^
남구,대학로94번길,가무댕댕,2020.10.20,5.0,맛있어요!
남구,대학로94번길,가무댕댕,2020.10.17,5.0,돈까스 너무 맛있어요.
남구,대학로94번길,가무댕댕,2020.10.16,5.0,포장이 되어서 너무 좋네요
남구,대학로94번길,가무댕댕,2020.10.15,4.0,좋아요
남구,대학로94번길,가무댕댕,2020.10.14,5.0,맛있어요
남구,대학로94번길,가무댕댕,2020.10.13,3.0,그냥그래요
남구,대학로94번길,가무댕댕,2020.09.25,4.5,맛있어요
남구,대학로94번길,가무댕댕,2020.09.25,5.0,"응팔보고 경양식돈까스 먹고 싶어 방문한 가무댕댕 일부러 더 옛스러운 자리 1 층에 앉아서 스프도 후투 후츄후츄해서 먹고 맛있게 돈까스도 다 먹고 갔다. 가 격은 저렴했지만, 예전 우리 엄마 아빠 누나랑 94년도에 갔던, 레스토랑..."
남구,대학로94번길,가무댕댕,2020.09.25,4.5,먹고 싶었던 경양식 돈까스- 맛있게 잘 먹었는데 뭔가 5점 다 주기는 아쉬운 집
남구,대학로94번길,가무댕댕,2020.09.20,1.5,맛있는데. 밥을 너무조금주네요.처음부터많이 달라고해도 추가주문하라고 해서 추가주문했는데도 양이 똑같아요
남구,대학로94번길,가무댕댕,2020.09.18,5.0,옛날 애들 어릴때 자주가던 맛집인데 정말 몇년만에 갔는데 예전 그대로 맛있네요~~^^
남구,대학로94번길,가무댕댕,2020.09.12,5.0,분위기 좋구여
남구,대학로94번길,가무댕댕,2020.09.06,5.0,최고
남구,대학로94번길,가무댕댕,2020.09.03,5.0,전통있는 경양식 맛집. 부드러운 돈까스와 특유의 데미그라스풍 소스가 잘 어울림. 식전에 나오는 스프도 반가움
남구,대학로94번길,가무댕댕,2020.08.25,4.0,언제나 그리운 맛입니다~^^
남구,대학로94번길,가무댕댕,2020.08.21,4.0,익숙한 맛.... 맛있어요 (❁´▽`❁)
남구,대학로94번길,가무댕댕,2020.08.19,4.5,갈때마다 맛있음 스프 맛있음 돈까스 바삭하고 맛있음 치즈돈까스 쿰쿰한 냄새 나는 치즈고 고소함
남구,대학로94번길,가무댕댕,2020.08.15,4.0,좋아요
남구,대학로94번길,가무댕댕,2020.08.15,2.5,좋아요
남구,대학로94번길,가무댕댕,2020.08.15,3.5,맛잇어요
남구,대학로94번길,가무댕댕,2020.08.15,3.0,조아요
남구,대학로94번길,가무댕댕,2020.08.15,3.5,좋아요
남구,대학로94번길,가무댕댕,2020.08.15,0.5,맛도 맛이지만 서비스가 너무 엉망이였습니다 손님이 와도 인사는 커녕 쳐다만 보고있고 1층 자리에 앉아서 10분정도 있었는데 주문을 안받으러 오길래 물어 봤더니 그제서야 퉁명스럽게 2층가세요 이러고.. 겨우 주문하고 스프가 ...
남구,대학로94번길,가무댕댕,2020.08.11,3.5,맛잇어요 언양에서 소문 듣고왓어요
남구,대학로94번길,가무댕댕,2020.08.11,4.0,밥 양 많이주세용...ㅠ
남구,대학로94번길,가무댕댕,2020.08.09,5.0,경양식돈가스는 가무댕댕
남구,대학로94번길,가무댕댕,2020.08.09,5.0,ㅠㅠㅠ 짱 맛있어요
남구,대학로94번길,가무댕댕,2020.08.06,4.0,추억의 경양식 돈가스~~ 스파게티보단 돈가스가 더 맛있어요
남구,대학로94번길,가무댕댕,2020.08.01,5.0,나의 최애 돈까스 맛집~^^
남구,대학로94번길,가무댕댕,2020.07.16,5.0,동까스 무지크고 맛나요.
남구,대학로94번길,가무댕댕,2020.07.16,4.5,맛있음
남구,대학로94번길,가무댕댕,2020.07.15,5.0,동네에있는경양식집!싸고맛나고!
남구,대학로94번길,가무댕댕,2020.07.14,5.0,대학교때부터 다니던 단골집입니다~언제나 변함없이 맛있는 돈까스집입니다~~오늘은 포장해서 먹었네요~~^^
남구,대학로94번길,가무댕댕,2020.07.12,4.0,추억의 맛 깍뚜기 jmt 근처가면 꼭 먹고옴 밥을 너무 작게줘서 꼭 공기밥추가 를 해야한다 주말점심에 가면 웨이팅 있을수도 있다
남구,대학로94번길,가무댕댕,2020.07.07,5.0,추억의 그 맛
남구,대학로94번길,가무댕댕,2020.07.04,5.0,맛좋고 가격도 좋아요
남구,대학로94번길,가무댕댕,2020.06.24,5.0,옛날 그 맛 디저트 없어져서 아쉽스
남구,대학로94번길,가무댕댕,2020.06.10,5.0,깍두기맛집
남구,대학로94번길,가무댕댕,2020.05.28,4.5,.
남구,대학로94번길,가무댕댕,2020.05.26,2.5,그냥그랬어염...
남구,대학로94번길,가무댕댕,2020.05.23,4.0,아들과의 주말데이트 귯입니다
남구,대학로94번길,가무댕댕,2020.05.23,3.5,포장되고..맛도 좋은데..조금더 친절하셨음 좋겠습니다
남구,대학로94번길,가무댕댕,2020.05.23,4.0,아들과의 주말데이트 귯입니다
남구,대학로94번길,가무댕댕,2020.05.21,4.0,굿
남구,대학로94번길,가무댕댕,2020.05.21,2.5,맛있어요
남구,대학로94번길,가무댕댕,2020.05.21,2.5,괜찮아요
남구,대학로94번길,가무댕댕,2020.04.25,3.5,레트로 감성인데 소파가 상당히 낡았어요ㅠ 맛은 있어요~
남구,대학로94번길,가무댕댕,2020.04.19,5.0,
남구,대학로94번길,가무댕댕,2020.04.11,5.0,가무댕댕 맛있습니다
남구,대학로94번길,가무댕댕,2020.03.29,2.0,올드한 느낌은 좋으나 의자는 너무 지저분하고 비위생적이네요 돈까스도 너무 딱딱하고 고기맛은 하나없는 그런집이네요
남구,대학로94번길,가무댕댕,2020.03.27,1.0,왜 마스크 안끼세요???????? 왜 마스크 안끼세요???????? 17년 단골입니다. 맛은 여전히 좋았는데 서울에서 오랜만에 내려와서 사회적 거리두기 때문에 며 칠을 참고 참다가 제일 좋아하는 돈까스집 왔는데 서빙하는 알바분이 (...
남구,대학로94번길,가무댕댕,2020.03.13,5.0,한결같이 맛있어용!!
남구,대학로94번길,가무댕댕,2020.02.07,4.0,"20여년전부터 쭉 다니던 곳이고 내부는 다소 옛날스러우나 바싹하고 예전맛을 그리워하는 사람들이 찾는곳이고, 늘 손님들이 많아요.. 가격대비 만족합니다"
남구,대학로94번길,가무댕댕,2020.01.05,3.0,...
남구,대학로94번길,가무댕댕,2020.01.02,4.0,굿
남구,대학로94번길,가무댕댕,2019.12.29,4.0,맛있어요
남구,대학로94번길,가무댕댕,2019.12.17,3.0,맛나요
남구,대학로94번길,가무댕댕,2019.12.17,3.0,좋아요
남구,대학로94번길,가무댕댕,2019.11.30,5.0,완전 옛날 감성분위기에요 직원분들도 친절하고 맛고 좋고 담에도 경양식 돈까스 먹고 싶을때 여기 갈거 같아요
남구,대학로94번길,가무댕댕,2019.08.31,5.0,오래된곳은데도 여전히 맛있네요!!ㅎㅎ 안으로 들어오면 정말 옛날분위기도 너 무 좋아요ㅎㅎ리모델링 안하셨으면 합니다~~돈가스도 튀김이 두껍지도 않고 얇아서 느끼하지도 않고 적당히 잘튀겨져 나왔어요ㅎㅎ둘이오면 스파게...
